Sexo,Edad,cluster,Q1,Q2,Q3,variable,value,factor,tf,type_id,jitter_type,jitter_value
Male,18,1,Si,Si,No,Q12,4,EE,Internal,0,-0.0593664788527587,3.7831270901133065
Male,18,1,Si,Si,Si,Q12,4,EE,Internal,0,-0.07780881381594501,3.997538804322871
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.1284030366369781,2.8724922440229346
Male,18,1,Si,Si,Si,Q12,3,EE,Internal,0,-0.2166707139948746,2.76123773149931
Male,18,1,Si,Si,No,Q12,5,EE,Internal,0,0.055553988494458806,4.7895948385872815
Male,18,0,Si,Si,Si,Q12,4,EE,Internal,0,0.01002683721067854,3.7740999135941475
Female,18,1,Si,Si,Si,Q12,2,EE,Internal,0,0.20410375609609555,1.8835293756667286
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.008316376332695996,3.1788351816485227
Female,18,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.1574497457835931,4.8957011092856915
Male,18,0,SI,Si,No,Q12,2,EE,Internal,0,-0.06837150762168248,1.760333006947881
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.049020299278225654,3.1048583300087502
Male,18,0,Si,Si,Si,Q12,5,EE,Internal,0,0.12667363801507675,4.975724319325592
Male,18,0,Si,Si,Si,Q12,2,EE,Internal,0,-0.19220064675357557,1.8797677209821786
Male,18,0,Si,Si,Si,Q12,5,EE,Internal,0,0.07829701071648626,4.882144554216654
Female,18,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.11421366391779991,3.1653062285597318
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.14737429303437954,3.1239602851906234
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.11368701601633807,3.2079535483361448
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.0788475226570185,2.7784467726647395
Male,18,0,Si,Si,Si,Q12,4,EE,Internal,0,0.23795225869535436,3.811255294423847
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.1699091462907969,3.10066099927745
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.05224868569431068,2.9300024867449643
Male,18,0,Si,Si,Si,Q12,2,EE,Internal,0,0.022446398983625437,2.226642275642346
Male,18,0,Si,Si,Si,Q12,5,EE,Internal,0,0.08933467244841065,4.932274598715537
Female,18,0,Si,Si,Si,Q12,5,EE,Internal,0,0.19564592005299647,5.002859701743994
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.22883354658045002,2.8334954608949108
Male,18,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.18686926129218773,4.994808954467401
Male,18,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.23579749327652377,4.995673162054864
Male,18,0,Si,Si,Si,Q12,4,EE,Internal,0,-0.003946344330789275,3.78570122010405
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.058139562788030674,2.805724562191753
Male,18,0,Si,Si,Si,Q12,4,EE,Internal,0,-0.07682043624121826,4.0034095708668165
Male,18,0,Si,Si,Si,Q12,4,EE,Internal,0,0.02165970503219511,3.98129968608355
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.21515602197973083,3.0003232457856606
Male,18,0,Si,Si,Si,Q12,4,EE,Internal,0,-0.24725757729730097,4.028866289368255
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.167530531752692,3.0000152346688234
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.11169654394194478,2.90164680670847
Male,18,0,Si,Si,Si,Q12,5,EE,Internal,0,0.1316639354675524,5.026203953933277
Male,18,0,Si,Si,Si,Q12,4,EE,Internal,0,-0.14846369564229378,3.785490639934613
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,0.18170982847877087,2.7826612756710434
Male,18,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.0714062192225755,2.759483794297731
Male,18,0,Si,Si,Si,Q12,4,EE,Internal,0,0.1507973347147739,3.8612840643754867
Male,18,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.14683358323909823,4.762772375516488
Male,19,1,Si,Si,Si,Q12,4,EE,Internal,0,-0.23478974926658125,4.117381287845
Female,19,1,Si,Si,No,Q12,4,EE,Internal,0,0.08452372129558822,3.843520469419616
Male,19,1,Si,Si,Si,Q12,4,EE,Internal,0,-0.1512993100039981,4.077401278266276
Male,19,1,Si,Si,Si,Q12,3,EE,Internal,0,0.15129653763190848,3.0068827715639905
Male,19,1,Si,Si,No,Q12,3,EE,Internal,0,-0.06886740215397652,3.052409525748515
Male,19,1,Si,Si,Si,Q12,3,EE,Internal,0,-0.23878441942027878,3.0056794660782034
Male,19,1,Si,Si,No,Q12,4,EE,Internal,0,-0.12917527894444897,4.005140810269397
Male,19,0,Si,Si,Si,Q12,5,EE,Internal,0,0.03659798046884699,5.195806608793129
Male,19,1,Si,Si,Si,Q12,2,EE,Internal,0,0.055552533469033494,2.1144249464307623
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,0.2343860686265759,2.838852581832652
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,0.20848954782137114,3.1957073691164326
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.0718349021033009,2.817413479431017
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.06604819788848015,2.8801966333852103
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.09789954122990602,2.961396610666315
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.10208111581244417,3.1858543498119767
Male,19,0,Si,Si,Si,Q12,4,EE,Internal,0,-0.12022836701558881,3.963459006168213
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.22332398729353786,2.9201750091342964
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,0.24660632893857554,2.881094259006712
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,0.11124756761793864,3.1540324993926125
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.012083805513360857,3.1790504145071137
Male,19,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.1278459099800895,4.836378668896541
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.2066359172773326,2.8217827402461326
Male,19,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.07595239283640443,5.242033453113962
Male,19,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.17068763520727404,4.899727766945619
Male,19,0,Si,Si,Si,Q12,5,EE,Internal,0,0.15612928591781422,5.171138745135046
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,0.10269777223289078,2.997164348529589
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,0.0898624203070354,2.942884187889968
Male,19,0,Si,Si,Si,Q12,4,EE,Internal,0,0.10707553395400887,3.805849668229593
Male,19,0,Si,Si,Si,Q12,3,EE,Internal,0,0.22491224713530888,2.988928702853802
Male,19,0,Si,Si,Si,Q12,4,EE,Internal,0,0.11177740525425,3.9262357742880427
Female,19,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.16776704621304733,3.0055631651695602
Male,20,0,Si,Si,Si,Q12,4,EE,Internal,0,0.03575991119257427,3.9384743658429633
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.18654783687146548,3.0895933570734924
Male,20,0,Si,Si,Si,Q12,5,EE,Internal,0,0.14201941074000696,4.750098250251239
Female,20,0,Si,Si,Si,Q12,5,EE,Internal,0,0.011758369340443553,5.051892934592027
Male,20,0,Si,Si,Si,Q12,4,EE,Internal,0,0.11464705425904881,3.9307399244428787
Male,20,0,Si,Si,Si,Q12,5,EE,Internal,0,0.16943903514615016,5.05687124879845
Male,20,0,Si,Si,Si,Q12,4,EE,Internal,0,0.15526582812879425,4.2417276935729
Male,20,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.2433500239988235,4.997175136829534
Male,20,1,Si,Si,Si,Q12,3,EE,Internal,0,0.04850617998377216,3.0657821727537264
Male,20,1,Si,Si,Si,Q12,3,EE,Internal,0,0.2154273178063914,2.895860728654114
Male,20,0,Si,Si,No,Q12,5,EE,Internal,0,-0.03615647809422068,5.232992250997178
Male,20,0,Si,Si,No,Q12,3,EE,Internal,0,-0.18617849187561752,3.2207970618785233
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,0.23339160094808792,2.798493444199586
Male,20,1,Si,Si,Si,Q12,3,EE,Internal,0,-0.12181906411232729,2.8419468895470295
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.11345006345058611,3.2174560041172358
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,0.21467858389574457,2.848824202441418
Male,20,0,Si,Si,Si,Q12,4,EE,Internal,0,0.12446270087544681,4.1998151110208655
Female,20,0,Si,Si,Si,Q12,3,EE,Internal,0,0.004014235127412447,2.95579575593339
Male,20,1,Si,Si,Si,Q12,3,EE,Internal,0,-0.17781074810097036,2.9717869012301668
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.11037222824519427,3.209001234803019
Male,20,0,Si,Si,Si,Q12,5,EE,Internal,0,0.21260127598309958,5.032058511308683
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,0.145229362283467,3.22200674527333
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.1964714695598776,2.8598995290309066
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.12671238441602461,2.891585350984068
Male,20,0,Si,Si,Si,Q12,5,EE,Internal,0,0.03151763021235243,5.057741132008219
Male,20,0,Si,Si,Si,Q12,4,EE,Internal,0,-0.11108710881481731,4.156709006308706
Male,20,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.06599647567507394,4.979149167091384
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,0.20892315673021733,3.122387586971859
Male,20,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.0699188243848905,4.8244391423044535
Male,20,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.06840726128338626,3.005898648392491
Male,20,0,Si,Si,Si,Q12,4,EE,Internal,0,-0.1155279103444739,4.08847917984039
Female,21,0,Si,Si,No,Q12,3,EE,Internal,0,-0.07607414285161856,2.7713442695184183
Male,21,1,Si,Si,No,Q12,2,EE,Internal,0,0.2011759302315414,2.0010480942525914
Male,21,1,Si,Si,Si,Q12,3,EE,Internal,0,0.03114308994479309,2.890267710990993
Male,21,1,Si,Si,Si,Q12,3,EE,Internal,0,-0.1101649127631748,2.7888587313331827
Male,21,1,Si,Si,Si,Q12,2,EE,Internal,0,-0.1674188024208636,1.8612453253594623
Male,21,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.014698606883381593,3.1773369783388787
Male,21,1,Si,Si,Si,Q12,3,EE,Internal,0,-0.03212622554950034,2.8589564586874685
Male,21,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.1931083935497407,3.1320098118750264
Male,21,0,Si,Si,Si,Q12,5,EE,Internal,0,0.04312310317993279,4.924385016673518
Male,21,0,Si,Si,Si,Q12,5,EE,Internal,0,-0.052547624666402004,4.976643051744614
Male,21,0,Si,Si,Si,Q12,5,EE,Internal,0,0.026335202245710954,5.225527166012895
Male,21,0,Si,Si,Si,Q12,2,EE,Internal,0,0.12519403501668835,1.7536695294003777
Male,21,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.17843103260205107,3.067514124874881
Male,21,0,Si,Si,Si,Q12,4,EE,Internal,0,0.15111768283839433,3.9895273762217673
Male,21,0,Si,Si,Si,Q12,5,EE,Internal,0,0.07580790303778778,4.75762093632999
Male,21,0,Si,Si,Si,Q12,3,EE,Internal,0,-0.03763959758692731,2.9927894598411893
Female,21,0,Si,Si,Si,Q12,4,EE,Internal,0,0.06656161690341866,4.153246886657446
Male,18,1,Si,Si,No,Q13,2,EE,Internal,0,0.01779468428202663,1.9366636425842865
Male,18,1,Si,Si,Si,Q13,3,EE,Internal,0,-0.07633820092189347,2.787818996583153
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.00970151030680455,4.135327649411479
Male,18,1,Si,Si,Si,Q13,3,EE,Internal,0,-0.12651754230786433,2.9022753541182817
Male,18,1,Si,Si,No,Q13,3,EE,Internal,0,-0.1282266526410546,2.8641548820318086
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.16282393609758372,4.197065969282929
Female,18,1,Si,Si,Si,Q13,3,EE,Internal,0,-0.21224172356368592,2.95503979897672
Male,18,0,Si,Si,Si,Q13,5,EE,Internal,0,0.060677575621939206,5.103609645528587
Female,18,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.0009293992818908969,1.9670940630591573
Male,18,0,SI,Si,No,Q13,3,EE,Internal,0,-0.16182362861415367,2.96393252962216
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.10127399695252248,3.9089810590507907
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.08912943756532415,3.8432968219293784
Male,18,0,Si,Si,Si,Q13,2,EE,Internal,0,0.07051439177633617,2.1941366449811075
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.20182117231561642,3.9405251767218292
Female,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.04021951880348312,3.8600315141038113
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.011564763116037768,3.7561467031233624
Male,18,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.18333117035231672,1.9278863208798511
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.13100016839842943,4.247568861536737
Male,18,0,Si,Si,Si,Q13,5,EE,Internal,0,-0.00964827929240969,5.089791512393796
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.14412241063885783,3.91261560497881
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.009834075681280363,3.9000917191199447
Male,18,0,Si,Si,Si,Q13,5,EE,Internal,0,-0.12893446819984683,4.9857490542271465
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.10861162865477891,4.086269778932857
Female,18,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.21274868743155334,1.879156437360261
Male,18,0,Si,Si,Si,Q13,5,EE,Internal,0,-0.09199368106823735,4.80705186882899
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.010406678644905187,4.215626843156917
Male,18,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.043293913502262193,3.0947430986169695
Male,18,0,Si,Si,Si,Q13,5,EE,Internal,0,-0.16251754330326512,5.0062377641702405
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.1540378328544732,4.117066431296714
Male,18,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.2089362993004612,3.0589606970675636
Male,18,0,Si,Si,Si,Q13,5,EE,Internal,0,0.22129765377094274,5.035470491912865
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,0.14133404965203678,3.913618185698536
Male,18,0,Si,Si,Si,Q13,3,EE,Internal,0,0.11195563715288104,3.1249185715816012
Male,18,0,Si,Si,Si,Q13,3,EE,Internal,0,0.20702491192902733,2.8390600506313675
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.21987414201559652,3.777738842570609
Male,18,0,Si,Si,Si,Q13,5,EE,Internal,0,0.23300785387425405,4.803898191821977
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.23237546322206365,3.7739203232617538
Male,18,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.08738453640289984,1.7881003499625376
Male,18,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.1643935565732148,2.926874058129261
Male,18,0,Si,Si,Si,Q13,5,EE,Internal,0,0.21520181842911346,4.79697098271272
Male,18,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.017131855036042865,3.897764620646128
Male,19,1,Si,Si,Si,Q13,2,EE,Internal,0,0.1434355591393835,1.945523432727256
Female,19,1,Si,Si,No,Q13,1,EE,Internal,0,0.10032016697854412,1.215977146540062
Male,19,1,Si,Si,Si,Q13,2,EE,Internal,0,-0.06841459628554786,1.8057986317781562
Male,19,1,Si,Si,Si,Q13,2,EE,Internal,0,-0.02369495476660699,1.916989425300872
Male,19,1,Si,Si,No,Q13,3,EE,Internal,0,0.16003548102950765,3.1685755024021547
Male,19,1,Si,Si,Si,Q13,2,EE,Internal,0,-0.18697235763901243,2.132657819156909
Male,19,1,Si,Si,No,Q13,2,EE,Internal,0,0.07218542009181073,2.166776361480396
Male,19,0,Si,Si,Si,Q13,1,EE,Internal,0,0.2430615390468418,1.1956695161312274
Male,19,1,Si,Si,Si,Q13,3,EE,Internal,0,-0.027738602752587938,3.0300207814844216
Male,19,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.18374011284689562,1.8302411886322685
Male,19,0,Si,Si,Si,Q13,5,EE,Internal,0,-0.009242874261869372,4.88859722672904
Male,19,0,Si,Si,Si,Q13,3,EE,Internal,0,0.14671961042107434,2.8275580442064756
Male,19,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.17520897221743514,3.819778471232129
Male,19,0,Si,Si,Si,Q13,2,EE,Internal,0,0.13059160800829894,1.8731933612379263
Male,19,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.013848414463174141,2.757196089733727
Male,19,0,Si,Si,Si,Q13,3,EE,Internal,0,0.249258649714669,3.068359532576018
Male,19,0,Si,Si,Si,Q13,4,EE,Internal,0,0.1312038767602502,3.850938970240498
Male,19,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.015863920762190287,2.9011958849996233
Male,19,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.10284642572598413,3.0136371735249856
Male,19,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.10459020204623676,3.0314295454942686
Male,19,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.06654036116459178,2.089089222197697
Male,19,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.2303009185342496,3.029871119497562
Male,19,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.16897826871962013,4.011878268091965
Male,19,0,Si,Si,Si,Q13,5,EE,Internal,0,0.056595209966952775,4.992896627250154
Male,19,0,Si,Si,Si,Q13,2,EE,Internal,0,0.1611911688946971,1.8988204349104003
Male,19,0,Si,Si,Si,Q13,4,EE,Internal,0,0.1666899559658243,4.122125882506226
Male,19,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.18225661916015978,3.785876828290461
Male,19,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.21729209273718464,3.9577620379424987
Male,19,0,Si,Si,Si,Q13,4,EE,Internal,0,0.24800967664761986,4.1311292617853175
Male,19,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.10209573613238854,4.018026992676087
Female,19,0,Si,Si,Si,Q13,3,EE,Internal,0,0.11901806168948487,2.960071016009484
Male,20,0,Si,Si,Si,Q13,3,EE,Internal,0,0.1087932385477795,3.0322160734831627
Male,20,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.24382448458254308,3.239122398539353
Male,20,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.1398336376825266,2.090544860929568
Female,20,0,Si,Si,Si,Q13,4,EE,Internal,0,0.050260750939743026,4.040428714762783
Male,20,0,Si,Si,Si,Q13,5,EE,Internal,0,0.10298138363204073,5.1803295747429985
Male,20,0,Si,Si,Si,Q13,4,EE,Internal,0,0.20845875671776265,4.029191902731497
Male,20,0,Si,Si,Si,Q13,2,EE,Internal,0,0.10870194128675087,1.8163775289874073
Male,20,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.0833021107862934,4.13039441544881
Male,20,1,Si,Si,Si,Q13,4,EE,Internal,0,-0.008122128884750779,4.0096430691926175
Male,20,1,Si,Si,Si,Q13,3,EE,Internal,0,0.08466212763458159,3.042488484565649
Male,20,0,Si,Si,No,Q13,3,EE,Internal,0,-0.08286884332429817,3.2099530172131363
Male,20,0,Si,Si,No,Q13,3,EE,Internal,0,0.06158903003307986,2.814956027460895
Male,20,0,Si,Si,Si,Q13,3,EE,Internal,0,0.10587097103368659,3.244874980919296
Male,20,1,Si,Si,Si,Q13,2,EE,Internal,0,-0.2076960372950885,1.982677219445784
Male,20,0,Si,Si,Si,Q13,4,EE,Internal,0,0.05909288560220599,4.144399551161363
Male,20,0,Si,Si,Si,Q13,4,EE,Internal,0,-0.06217896471307527,3.904757113054318
Male,20,0,Si,Si,Si,Q13,5,EE,Internal,0,-0.04808644336817519,5.029930585073709
Female,20,0,Si,Si,Si,Q13,2,EE,Internal,0,0.15157961495892808,2.141705348963459
Male,20,1,Si,Si,Si,Q13,3,EE,Internal,0,-0.018644284368029063,2.8700034422787852
Male,20,0,Si,Si,Si,Q13,2,EE,Internal,0,0.08849554065315002,2.0654522545628597
Male,20,0,Si,Si,Si,Q13,2,EE,Internal,0,0.21251176634259678,1.9959246776690427
Male,20,0,Si,Si,Si,Q13,3,EE,Internal,0,0.11134609201375711,2.7657067240410678
Male,20,0,Si,Si,Si,Q13,5,EE,Internal,0,-0.1594204215316029,5.212535159916659
Male,20,0,Si,Si,Si,Q13,3,EE,Internal,0,0.05485131518761621,3.2372190608312144
Male,20,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.2178778767075505,2.2097532101508492
Male,20,0,Si,Si,Si,Q13,5,EE,Internal,0,-0.09922492851716314,4.844604460617433
Male,20,0,Si,Si,Si,Q13,5,EE,Internal,0,0.1157944115823995,5.112555096731238
Male,20,0,Si,Si,Si,Q13,3,EE,Internal,0,-0.14343296086430796,3.1219470923985204
Male,20,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.07224747689144179,1.7703743398158576
Male,20,0,Si,Si,Si,Q13,4,EE,Internal,0,0.013846700712348337,3.794120556205355
Male,20,0,Si,Si,Si,Q13,3,EE,Internal,0,0.000574399769534939,3.043492483200498
Female,21,0,Si,Si,No,Q13,3,EE,Internal,0,-0.039011228544922616,3.216103747848942
Male,21,1,Si,Si,No,Q13,2,EE,Internal,0,-0.21349450795040026,2.074159779662783
Male,21,1,Si,Si,Si,Q13,2,EE,Internal,0,-0.15930857067680843,2.084285769030537
Male,21,1,Si,Si,Si,Q13,2,EE,Internal,0,0.15908610920001937,1.9454223615237
Male,21,1,Si,Si,Si,Q13,4,EE,Internal,0,-0.10751655204827576,4.070760113479628
Male,21,0,Si,Si,Si,Q13,1,EE,Internal,0,-0.13968026623630836,1.0924828498703572
Male,21,1,Si,Si,Si,Q13,2,EE,Internal,0,-0.08221989008573899,2.0169911477917752
Male,21,0,Si,Si,Si,Q13,2,EE,Internal,0,0.09634943522334904,2.1195716303292715
Male,21,0,Si,Si,Si,Q13,3,EE,Internal,0,0.16776943565868002,2.8233849022479003
Male,21,0,Si,Si,Si,Q13,2,EE,Internal,0,0.15050235162738068,2.2469943487451833
Male,21,0,Si,Si,Si,Q13,4,EE,Internal,0,0.02255227723129183,3.889865842694441
Male,21,0,Si,Si,Si,Q13,5,EE,Internal,0,0.11945762069184501,4.799160093114027
Male,21,0,Si,Si,Si,Q13,2,EE,Internal,0,-0.12552727057607255,1.7588234819150785
